MovieName,Genre,Rating,Votes,Duration_min
Mahavatar Narsimha,Action,9.1,33000.0,130.0
Relay,Action,7.2,1700.0,112.0
Freaky Tales,Action,6.3,12000.0,107.0
Dune: Part Two,Action,8.5,661000.0,166.0
Gladiator II,Action,6.5,271000.0,148.0
The Beekeeper,Action,6.3,167000.0,105.0
The Ministry of Ungentlemanly Warfare,Action,6.8,144000.0,122.0
Deadpool & Wolverine,Action,7.5,524000.0,128.0
Drive-Away Dolls,Action,5.4,25000.0,84.0
Carry-On,Action,6.5,178000.0,119.0
William Tell,Action,5.7,4800.0,134.0
Furiosa: A Mad Max Saga,Action,7.5,299000.0,148.0
Rebel Ridge,Action,6.8,95000.0,131.0
Kraven the Hunter,Action,5.5,71000.0,127.0
Twisters,Action,6.5,182000.0,122.0
Kingdom of the Planet of the Apes,Action,6.8,159000.0,145.0
Civil War,Action,7.0,250000.0,109.0
The Fall Guy,Action,6.8,233000.0,126.0
Sonic the Hedgehog 3,Action,6.9,70000.0,110.0
Road House,Action,6.2,174000.0,121.0
The Unholy Trinity,Action,5.5,3200.0,95.0
Venom: The Last Dance,Action,6.0,138000.0,110.0
The Count of Monte-Cristo,Action,7.6,40000.0,178.0
The Union,Action,5.5,55000.0,107.0
Borderlands,Action,4.7,52000.0,101.0
Old Guy,Action,5.2,4100.0,94.0
40 Acres,Action,6.5,3500.0,113.0
Abigail,Action,6.5,103000.0,109.0
Fight or Flight,Action,6.4,18000.0,102.0
Madame Web,Action,4.1,106000.0,116.0
Argylle,Action,5.6,96000.0,139.0
Elevation,Action,5.6,26000.0,91.0
Red One,Action,6.3,145000.0,123.0
Land of Bad,Action,6.6,55000.0,113.0
Bad Boys: Ride or Die,Action,6.5,105000.0,115.0
Transformers One,Action,7.6,58000.0,104.0
Monkey Man,Action,6.8,96000.0,121.0
Maharaja,Action,8.4,73000.0,141.0
Arcadian,Action,5.5,25000.0,92.0
Godzilla x Kong: The New Empire,Action,6.0,127000.0,115.0
Azrael,Action,5.3,13000.0,86.0
Damsel,Action,6.1,113000.0,110.0
Beverly Hills Cop: Axel F,Action,6.4,84000.0,118.0
The Crow,Action,4.7,38000.0,111.0
River of Blood,Action,4.8,2400.0,86.0
Cloud,Action,6.4,2400.0,124.0
The Lord of the Rings: The War of the Rohirrim,Action,6.3,35000.0,134.0
Kung Fu Panda 4,Action,6.3,73000.0,94.0
The Killer,Action,5.7,15000.0,126.0
The Instigators,Action,6.2,40000.0,101.0
The Wild Robot,Adventure,8.2,194000.0,102.0
Sketch,Adventure,7.1,1900.0,93.0
Flow,Adventure,7.9,92000.0,85.0
Moana 2,Adventure,6.5,115000.0,100.0
Mufasa: The Lion King,Adventure,6.6,75000.0,118.0
Inside Out 2,Adventure,7.5,230000.0,96.0
The Return,Adventure,6.2,12000.0,116.0
Despicable Me 4,Adventure,6.2,71000.0,94.0
Ghostbusters: Frozen Empire,Adventure,6.1,98000.0,115.0
Paddington in Peru,Adventure,6.6,29000.0,106.0
Spaceman,Adventure,5.7,45000.0,107.0
Attack on Titan the Movie: The Last Attack,Adventure,9.2,19000.0,145.0
Monster Summer,Adventure,5.7,5300.0,97.0
Atlas,Adventure,5.6,58000.0,118.0
Uglies,Adventure,4.7,35000.0,100.0
Kalki 2898 AD,Adventure,7.0,70000.0,180.0
Survive,Adventure,4.6,3800.0,90.0
The Garfield Movie,Adventure,5.7,26000.0,101.0
Night of the Zoopocalypse,Adventure,6.0,1100.0,91.0
Please Don't Feed the Children,Adventure,4.7,835.0,94.0
Arthur the King,Adventure,7.0,36000.0,107.0
Solo Leveling: ReAwakening,Adventure,8.8,15000.0,121.0
The Courier,Adventure,6.0,4800.0,101.0
Wallace & Gromit: Vengeance Most Fowl,Adventure,7.5,38000.0,82.0
Megamind vs. The Doom Syndicate,Adventure,2.4,5900.0,83.0
Rebel Moon - Part Two: The Scargiver,Adventure,5.3,61000.0,122.0
Descendants: The Rise of Red,Adventure,4.7,7600.0,95.0
My Penguin Friend,Adventure,6.8,6100.0,97.0
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Adventure,7.2,9300.0,104.0
Spermageddon,Animation,5.4,1900.0,80.0
IF,Animation,6.4,61000.0,104.0
Memoir of a Snail,Animation,7.8,21000.0,95.0
Watchmen: Chapter I,Animation,7.1,7500.0,83.0
The Day the Earth Blew Up: A Looney Tunes Movie,Animation,6.8,7300.0,91.0
Look Back,Animation,7.8,17000.0,58.0
Orion and the Dark,Animation,6.3,18000.0,93.0
The Remarkable Life of Ibelin,Animation,8.2,13000.0,103.0
Spellbound,Animation,5.5,8200.0,109.0
Boys Go to Jupiter,Animation,7.0,194.0,90.0
Mononoke the Movie: The Phantom in the Rain,Animation,6.7,1600.0,89.0
The Glassworker,Animation,7.1,2100.0,98.0
Harold and the Purple Crayon,Animation,5.7,9200.0,90.0
Mars,Animation,6.8,35.0,84.0
Watchmen: Chapter II,Animation,7.1,3800.0,90.0
Justice League: Crisis on Infinite Earths - Part One,Animation,6.2,9200.0,93.0
Dan Da Dan: First Encounter,Animation,8.2,3300.0,83.0
Doraemon the Movie: Nobita's Earth Symphony,Animation,6.6,1700.0,115.0
Haikyu!! The Dumpster Battle,Animation,7.7,6900.0,85.0
Piece by Piece,Animation,6.9,6800.0,93.0
Justice League: Crisis on Infinite Earths - Part Three,Animation,6.1,5100.0,94.0
I Am What I Am 2,Animation,7.6,512.0,134.0
Uma Musume: Pretty Derby - Beginning of a New Era,Animation,7.4,267.0,108.0
Buffalo Kids,Animation,6.6,844.0,93.0
White Snake: Afloat,Animation,6.9,637.0,133.0
200% Wolf,Animation,5.9,1400.0,98.0
Hitpig,Animation,5.2,1200.0,86.0
My Hero Academia: You're Next,Animation,7.0,2900.0,110.0
Crayon Shin-chan: Our Dinosaur Diary,Animation,6.6,673.0,106.0
That Christmas,Animation,6.8,17000.0,91.0
Dragonkeeper,Animation,5.7,1900.0,98.0
Ultraman: Rising,Animation,6.9,6900.0,117.0
Justice League: Crisis on Infinite Earths - Part Two,Animation,5.6,5900.0,94.0
A Complete Unknown,Biography,7.3,101000.0,141.0
I'm Still Here,Biography,8.2,118000.0,137.0
The Apprentice,Biography,7.1,63000.0,122.0
Saturday Night,Biography,6.9,35000.0,109.0
Better Man,Biography,7.5,38000.0,135.0
Maria,Biography,6.4,22000.0,124.0
Queer,Biography,6.4,25000.0,137.0
Nr. 24,Biography,7.5,17000.0,111.0
Bob Marley: One Love,Biography,6.2,36000.0,107.0
Young Woman and the Sea,Biography,7.5,18000.0,129.0
Scoop,Biography,6.5,21000.0,102.0
Joy,Biography,7.1,11000.0,115.0
Queen of the Ring,Biography,6.3,2400.0,129.0
Ordinary Angels,Biography,7.4,17000.0,118.0
Unfrosted,Biography,5.5,36000.0,97.0
Amaran,Biography,8.1,21000.0,167.0
Back to Black,Biography,6.3,28000.0,122.0
Reagan,Biography,6.1,12000.0,141.0
Audrey's Children,Biography,7.1,482.0,110.0
Pavements,Biography,7.1,748.0,128.0
Cabrini,Biography,7.3,9300.0,142.0
El 47,Biography,7.2,4200.0,110.0
Winner,Biography,6.5,2900.0,103.0
The Fire Inside,Biography,6.7,3200.0,109.0
Monsieur Aznavour,Biography,7.3,3200.0,133.0
Bonhoeffer: Pastor. Spy. Assassin.,Biography,6.2,4100.0,133.0
Super/Man: The Christopher Reeve Story,Biography,8.0,11000.0,104.0
Midas Man,Biography,6.4,1800.0,112.0
Rob Peace,Biography,6.6,2400.0,120.0
Race for Glory: Audi vs. Lancia,Biography,5.8,5300.0,109.0
Chandu Champion,Biography,7.8,35000.0,142.0
Jim Henson: Idea Man,Biography,7.7,4000.0,111.0
Music by John Williams,Biography,8.2,5300.0,105.0
Niki,Biography,6.0,533.0,98.0
Avicii - I'm Tim,Biography,7.7,7700.0,95.0
Saint-Exupéry,Biography,5.4,694.0,98.0
Liza: A Truly Terrific Absolutely True Story,Biography,7.5,572.0,104.0
The Bibi Files,Biography,7.6,1500.0,115.0
The Beach Boys,Biography,7.1,2300.0,113.0
One to One: John & Yoko,Biography,7.3,802.0,101.0
Harbin,Biography,6.2,1200.0,108.0
Becoming Madonna,Biography,6.8,492.0,91.0
Goebbels and the Führer,Biography,6.7,2900.0,135.0
Riefenstahl,Biography,7.1,973.0,115.0
Limonov: The Ballad of Eddie,Biography,5.9,1200.0,138.0
Maidaan,Biography,7.9,23000.0,181.0
I'm Your Venus,Biography,7.1,561.0,85.0
Anora,Comedy,7.4,221000.0,139.0
Friendship,Comedy,6.9,20000.0,100.0
Beetlejuice Beetlejuice,Comedy,6.6,160000.0,105.0
A Real Pain,Comedy,7.1,112000.0,90.0
The Idea of You,Comedy,6.3,77000.0,115.0
Kinds of Kindness,Comedy,6.5,63000.0,164.0
Challengers,Comedy,7.0,163000.0,131.0
Riff Raff,Comedy,5.7,6200.0,103.0
It's What's Inside,Comedy,6.6,46000.0,103.0
Mean Girls,Comedy,5.5,39000.0,112.0
My Old Ass,Comedy,6.9,44000.0,89.0
The Friend,Comedy,6.4,4200.0,119.0
Miller's Girl,Comedy,5.2,25000.0,93.0
Bob Trevino Likes It,Comedy,7.5,4000.0,101.0
Snack Shack,Comedy,7.0,14000.0,112.0
Fly Me to the Moon,Comedy,6.6,54000.0,132.0
Get Away,Comedy,5.3,8900.0,86.0
Long Distance,Comedy,5.7,5400.0,86.0
A Nice Indian Boy,Comedy,7.4,3900.0,96.0
Upgraded,Comedy,6.1,31000.0,104.0
Nightbitch,Comedy,5.5,22000.0,99.0
A Different Man,Comedy,6.9,34000.0,112.0
Ricky Stanicky,Comedy,6.2,59000.0,113.0
A Family Affair,Comedy,5.4,38000.0,111.0
Longlegs,Crime,6.6,202000.0,101.0
The Order,Crime,6.8,54000.0,116.0
Juror #2,Crime,7.0,112000.0,114.0
Wolfs,Crime,6.5,92000.0,108.0
Trap,Crime,5.8,149000.0,105.0
MaXXXine,Crime,6.2,77000.0,103.0
Barron's Cove,Crime,6.0,733.0,116.0
The Girl with the Needle,Crime,7.5,16000.0,123.0
Love Lies Bleeding,Crime,6.6,60000.0,104.0
Sleeping Dogs,Crime,6.2,24000.0,110.0
Emilia Pérez,Crime,5.4,93000.0,132.0
The Menendez Brothers,Crime,7.0,10000.0,119.0
Lucky Baskhar,Crime,8.0,36000.0,148.0
The Shadow Strays,Crime,6.5,10000.0,144.0
King Ivory,Crime,6.3,449.0,130.0
Force of Nature: The Dry 2,Crime,5.9,8100.0,120.0
The Seed of the Sacred Fig,Crime,7.6,17000.0,167.0
Pushpa: The Rule - Part 2,Crime,6.1,61000.0,201.0
Lift,Crime,5.5,51000.0,107.0
The Thicket,Crime,5.8,4500.0,108.0
The Trainer,Crime,7.0,73.0,95.0
Long Gone Heroes,Crime,5.1,1600.0,101.0
Absolution,Crime,5.2,9600.0,112.0
Misericordia,Crime,6.8,3300.0,104.0
Brothers,Crime,5.4,14000.0,89.0
Greedy People,Crime,6.2,13000.0,112.0
Boneyard,Crime,4.1,5500.0,96.0
Beating Hearts,Crime,7.0,6600.0,166.0
The Silent Hour,Crime,6.1,8900.0,99.0
Armor,Crime,3.6,5000.0,89.0
Dead Mail,Crime,6.0,2600.0,106.0
Trigger Warning,Crime,4.6,20000.0,106.0
Devo,Documentary,7.6,615.0,94.0
No Other Land,Documentary,8.3,15000.0,92.0
Will & Harper,Documentary,7.4,13000.0,114.0
Satisfied,Documentary,7.7,18.0,84.0
A New Kind of Wilderness,Documentary,7.6,1500.0,84.0
Apocalypse in the Tropics,Documentary,7.6,1800.0,110.0
Chain Reactions,Documentary,7.2,137.0,103.0
Make It Look Real,Documentary,6.8,43.0,78.0
The Lost Children,Documentary,7.0,3100.0,96.0
2073,Documentary,5.1,3500.0,85.0
My Undesirable Friends: Part I - Last Air in Moscow,Documentary,8.0,26.0,324.0
Buy Now! The Shopping Conspiracy,Documentary,6.7,7200.0,84.0
Checkpoint Zoo,Documentary,7.8,81.0,103.0
Golden Opulence: 500 Years of Luxury in Anatolia,Documentary,9.5,1600.0,50.0
Andrea Bocelli: Because I Believe,Documentary,7.3,27.0,107.0
Architecton,Documentary,6.4,554.0,98.0
The Last Republican,Documentary,7.5,82.0,90.0
Mistress Dispeller,Documentary,7.0,182.0,94.0
Beatles '64,Documentary,7.2,2800.0,106.0
Lover Stalker Killer,Documentary,7.0,14000.0,90.0
Behind the Lines,Documentary,8.7,36.0,107.0
The Program,Documentary,7.1,943.0,102.0
Songs from the Hole,Documentary,6.2,117.0,97.0
Soundtrack to a Coup d'Etat,Documentary,7.8,3400.0,150.0
Am I Racist?,Documentary,6.6,17000.0,100.0
Black Box Diaries,Documentary,7.5,3900.0,102.0
Sugarcane,Documentary,7.0,3600.0,107.0
Yacht Rock: A Dockumentary,Documentary,7.6,2100.0,95.0
"There Was, There Was Not",Documentary,8.3,133.0,94.0
Johatsu: Into Thin Air,Documentary,6.4,257.0,86.0
Billy & Molly: An Otter Love Story,Documentary,8.0,2200.0,77.0
What Jennifer Did,Documentary,6.1,12000.0,87.0
The Thinking Game,Documentary,7.6,381.0,84.0
The War on Truth,Documentary,8.2,7.0,
Grand Theft Hamlet,Documentary,6.9,2300.0,89.0
Martha,Documentary,7.2,4300.0,115.0
The Greatest Night in Pop,Documentary,7.9,15000.0,96.0
Vice Is Broke,Documentary,7.2,33.0,102.0
The Life of Chuck,Drama,7.4,25000.0,111.0
The Substance,Drama,7.2,334000.0,141.0
Babygirl,Drama,5.8,70000.0,114.0
On Swift Horses,Drama,6.0,3300.0,119.0
The Brutalist,Drama,7.3,100000.0,216.0
Conclave,Drama,7.4,217000.0,120.0
Speak No Evil,Drama,6.8,117000.0,110.0
We Live in Time,Drama,7.0,62000.0,108.0
Small Things Like These,Drama,6.7,29000.0,98.0
The Penguin Lessons,Drama,7.1,7000.0,111.0
A Sacrifice,Drama,5.0,6200.0,94.0
The Assessment,Drama,6.6,17000.0,114.0
Presence,Drama,6.1,35000.0,84.0
It Ends with Us,Drama,6.3,92000.0,130.0
The Last Showgirl,Drama,6.5,17000.0,88.0
September 5,Drama,7.1,30000.0,95.0
